Province,Region,District,Tehsil,admin_unit,Gender,Age Group,Population Reporting,% of Total Population
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,60 &  ABOVE,422,3.8%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,60 &  ABOVE,506,4.3%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,65 &  ABOVE,293,2.6%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,65 &  ABOVE,336,2.8%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,UNDER 1,247,2.2%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,UNDER 1,232,2%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,UNDER 10,4019,36.2%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,UNDER 10,3987,33.7%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,UNDER 15,5734,51.7%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,UNDER 15,5935,50.2%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Female,UNDER 5,2030,18.3%
Balochistan,Rural,Chagai,Yak Machh,SUB-TEHSIL,Male,UNDER 5,2042,17.3%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Female,05 - 24,78991,54%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Male,05 - 24,104688,55.2%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Tgend,05 - 24,8,66.7%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Female,15 - 49,61240,41.8%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Male,15 - 49,70272,37.1%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Tgend,15 - 49,7,58.3%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Female,15 - 64,66679,45.5%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Male,15 - 64,76975,40.6%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Tgend,15 - 64,7,58.3%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Female,18 - 60,55601,38%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Male,18 - 60,62515,33%
Balochistan,Rural,Chaman,Chaman Saddar,SUB-DIVISION,Tgend,18 - 60,5,41.7%
