"PROVINCE","DISTRICT","AGE_GROUP","MARITAL_STATUS","ALL_SEXES_OVERALL","FEMALE_OVERALL","MALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","FEMALE_RURAL","MALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","FEMALE_URBAN","MALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","BARKHAN","15 &  ABOVE","WIDOWED",2673,2205,468,0,2387,1951,436,0,286,254,32,0
"BALOCHISTAN","BARKHAN","15 - 19","DIVORCED",1,1,0,0,1,1,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","15 - 19","MARRIED",2848,1641,1207,0,2728,1559,1169,0,120,82,38,0
"BALOCHISTAN","BARKHAN","15 - 19","NEVER MARRIED",15641,6679,8959,3,14248,6077,8168,3,1393,602,791,0
"BALOCHISTAN","BARKHAN","15 - 19","SEPERATION",3,0,3,0,3,0,3,0,0,0,0,0
"BALOCHISTAN","BARKHAN","15 - 19","WIDOWED",19,10,9,0,19,10,9,0,0,0,0,0
"BALOCHISTAN","BARKHAN","20 - 24","DIVORCED",3,1,2,0,3,1,2,0,0,0,0,0
"BALOCHISTAN","BARKHAN","20 - 24","MARRIED",8401,5028,3373,0,7834,4662,3172,0,567,366,201,0
"BALOCHISTAN","BARKHAN","20 - 24","NEVER MARRIED",6314,2197,4116,1,5702,1944,3757,1,612,253,359,0
"BALOCHISTAN","BARKHAN","20 - 24","SEPERATION",5,3,2,0,5,3,2,0,0,0,0,0
"BALOCHISTAN","BARKHAN","20 - 24","WIDOWED",27,14,13,0,25,14,11,0,2,0,2,0
"BALOCHISTAN","BARKHAN","25 - 29","DIVORCED",10,9,1,0,9,8,1,0,1,1,0,0
"BALOCHISTAN","BARKHAN","25 - 29","MARRIED",8771,4564,4207,0,8088,4215,3873,0,683,349,334,0
"BALOCHISTAN","BARKHAN","25 - 29","NEVER MARRIED",2521,889,1632,0,2217,758,1459,0,304,131,173,0
