"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","TOILET_SEPARATE","TOILET_FLUSH","TOILET_NON_FLUSH","TOILET_NONE","WASHROOM_SEPARATE","WASHROOM_NONE"
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","OVERALL",16348,10233,12528,3399,421,10313,305
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","RURAL",16348,10233,12528,3399,421,10313,305
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","OVERALL",38839,20593,15285,18033,5521,21211,4342
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","RURAL",23040,11456,8710,9819,4511,11542,3730
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","URBAN",15799,9137,6575,8214,1010,9669,612
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","OVERALL",100774,51923,73277,16247,11250,57101,3586
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","RURAL",42826,20385,29241,8233,5352,22327,2528
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","URBAN",57948,31538,44036,8014,5898,34774,1058
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","OVERALL",20961,2789,1602,6524,12835,5427,6144
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","RURAL",20961,2789,1602,6524,12835,5427,6144
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","OVERALL",14023,9418,11102,2274,647,9656,211
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","RURAL",3003,1886,2142,265,596,2335,160
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","URBAN",11020,7532,8960,2009,51,7321,51
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","OVERALL",3598,1431,552,1404,1642,2823,76
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","RURAL",3598,1431,552,1404,1642,2823,76
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","KHARAN","SAR KHARAN","SUB-DIVISION","OVERALL",11432,7797,5057,5246,1129,8631,367
"BALOCHISTAN","RAKHSHAN","KHARAN","SAR KHARAN","SUB-DIVISION","RURAL",11432,7797,5057,5246,1129,8631,367
"BALOCHISTAN","RAKHSHAN","KHARAN","SAR KHARAN","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","KHARAN","TOHMULK","SUB-TEHSIL","OVERALL",6790,4181,2352,2242,2196,5675,614
"BALOCHISTAN","RAKHSHAN","KHARAN","TOHMULK","SUB-TEHSIL","RURAL",6790,4181,2352,2242,2196,5675,614
"BALOCHISTAN","RAKHSHAN","KHARAN","TOHMULK","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","OVERALL",10012,1244,1482,500,8030,4695,3832
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","RURAL",10012,1244,1482,500,8030,4695,3832
