District,Metric,Status
Harnai,Wtr_Flag,âœ“
Kohlu,Literacy_Flag,âœ“
Kohlu,Attendance_Flag,âœ“
Kohlu,Energy_Flag_Elec,âœ“
Kohlu,San_Flag,âœ“
Kohlu,Wtr_Flag,âœ“
Sibi,Literacy_Flag,âœ“
Sibi,Attendance_Flag,âœ“
Sibi,Energy_Flag_Elec,âœ“
Sibi,San_Flag,âœ“
Sibi,Wtr_Flag,âœ“
Ziarat,Literacy_Flag,âœ“
Ziarat,Attendance_Flag,âœ“
Ziarat,Energy_Flag_Elec,âœ“
Ziarat,San_Flag,âœ“
Ziarat,Wtr_Flag,âœ“
Killa Saifullah,Literacy_Flag,âœ“
Killa Saifullah,Attendance_Flag,âœ“
Killa Saifullah,Energy_Flag_Elec,âœ“
Killa Saifullah,San_Flag,âœ“
Killa Saifullah,Wtr_Flag,âœ“
Sherani,Literacy_Flag,âœ“
Sherani,Attendance_Flag,âœ“
Sherani,Energy_Flag_Elec,âœ“
Sherani,San_Flag,âœ“
Sherani,Wtr_Flag,âœ“
Zhob,Literacy_Flag,âœ“
Zhob,Attendance_Flag,âœ“
Zhob,Energy_Flag_Elec,âœ“
Zhob,San_Flag,âœ“
Zhob,Wtr_Flag,âœ“
ICT,Literacy_Flag,âœ“
ICT,Attendance_Flag,âœ“
ICT,Energy_Flag_Elec,âœ“
ICT,San_Flag,âœ“
ICT,Wtr_Flag,âœ“
